supplier,item,description,admin,accounting,qa,qc,dok,systemkaizen,prodsupport_stafftools,prodsupport_staffoffice,prodsupport_supplies,audittraining,prodmgt,impexcrating,molding,fabrication,whreceiving,saitama,purchasing,prodtech,partsinspection,prod1dcmotor,prod1ud700yud,prod1sdrb260,prod1rbw10,prod2glr100,prod1brm,prod1technician,prod1office,prod1partsprep,prod2rbw150,prod2rbg,prod2technician,prod2partsprep,prod2packaging,prod2office,g200,rbw50,rbw100,sdrb100
RLT 88 TRADING CO.,Post It Note,"Acura - 2x3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,"Acura - 3x3""",,,1,,,,,,,,1,,,,,,,,,,,,,1,3,,,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,"Acura - 3x3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,"1.5 x 2"" Colored(Except Yellow)",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,
RLT 88 TRADING CO.,Post It Note,2x3'' Colored (Except Yellow),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,3x3 Colored(Except Yellow),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1
UNOCHEM,Powder Detergent Soap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Puncher,Carl No. 75A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Push Pins ,Snowman - 100's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Record Book,Shiny - 150 pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Record Book,Shiny - 300 pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Record Book,Shiny - 300 pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Record Book,Shiny - 500 pages,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Record Book,Shiny - 500 pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
